"index.x","index.y","ntaxa","clade","Nx","Ny","A0cx","A0cy","sum.x","sum.y","error","clade_size","rspr_dist","bound"
101,102,5,"12",26,24,16,14,0.604395604395604,0.565018315018315,0.0393772893772895,2,1,0.129273504273504
101,103,5,"12",26,28,16,16,0.604395604395604,0.571428571428571,0.0329670329670331,2,1,0.139194139194139
101,104,5,"12",26,24,16,14,0.604395604395604,0.565018315018315,0.0393772893772895,2,1,0.129273504273504
101,105,5,"12",26,24,16,14,0.604395604395604,0.565018315018315,0.0393772893772895,2,1,0.129273504273504
102,103,5,"12",24,28,14,16,0.565018315018315,0.571428571428571,-0.00641025641025639,2,1,0.107142857142857
102,104,5,"12",24,24,14,14,0.565018315018315,0.565018315018315,0,2,1,0.0972222222222223
102,105,5,"12",24,24,14,14,0.565018315018315,0.565018315018315,0,2,1,0.0972222222222223
103,104,5,"12",28,24,16,14,0.571428571428571,0.565018315018315,0.00641025641025639,2,1,0.0853174603174603
103,105,5,"12",28,24,16,14,0.571428571428571,0.565018315018315,0.00641025641025639,2,1,0.0853174603174603
104,105,5,"12",24,24,14,14,0.565018315018315,0.565018315018315,0,2,1,0.0972222222222223
87,101,5,"12",28,26,18,16,0.642857142857143,0.604395604395604,0.0384615384615383,2,1,0.13003663003663
87,102,5,"12",28,24,18,14,0.642857142857143,0.565018315018315,0.0778388278388278,2,1,0.156746031746032
87,103,5,"12",28,28,18,16,0.642857142857143,0.571428571428571,0.0714285714285714,2,1,0.166666666666667
87,104,5,"12",28,24,18,14,0.642857142857143,0.565018315018315,0.0778388278388278,2,1,0.156746031746032
87,105,5,"12",28,24,18,14,0.642857142857143,0.565018315018315,0.0778388278388278,2,2,0.156746031746032
87,88,5,"12",28,28,18,16,0.642857142857143,0.571428571428571,0.0714285714285714,2,1,0.166666666666667
87,89,5,"12",28,28,18,18,0.642857142857143,0.642857142857143,0,2,1,0.107142857142857
87,90,5,"12",28,28,18,18,0.642857142857143,0.642857142857143,0,2,1,0.107142857142857
87,91,5,"12",28,26,18,16,0.642857142857143,0.604395604395604,0.0384615384615383,2,1,0.13003663003663
87,94,5,"12",28,28,18,16,0.642857142857143,0.571428571428571,0.0714285714285714,2,1,0.166666666666667
87,95,5,"12",28,24,18,14,0.642857142857143,0.565018315018315,0.0778388278388278,2,2,0.156746031746032
87,96,5,"12",28,26,18,16,0.642857142857143,0.604395604395604,0.0384615384615383,2,1,0.13003663003663
87,97,5,"12",28,24,18,14,0.642857142857143,0.565018315018315,0.0778388278388278,2,2,0.156746031746032
87,98,5,"12",28,24,18,14,0.642857142857143,0.565018315018315,0.0778388278388278,2,2,0.156746031746032
88,101,5,"12",28,26,16,16,0.571428571428571,0.604395604395604,-0.0329670329670331,2,1,0.0586080586080586
88,102,5,"12",28,24,16,14,0.571428571428571,0.565018315018315,0.00641025641025639,2,1,0.0853174603174603
88,103,5,"12",28,28,16,16,0.571428571428571,0.571428571428571,0,2,2,0.0952380952380952
88,104,5,"12",28,24,16,14,0.571428571428571,0.565018315018315,0.00641025641025639,2,1,0.0853174603174603
88,105,5,"12",28,24,16,14,0.571428571428571,0.565018315018315,0.00641025641025639,2,1,0.0853174603174603
88,89,5,"12",28,28,16,18,0.571428571428571,0.642857142857143,-0.0714285714285714,2,1,0.0357142857142857
88,90,5,"12",28,28,16,18,0.571428571428571,0.642857142857143,-0.0714285714285714,2,1,0.0357142857142857
88,91,5,"12",28,26,16,16,0.571428571428571,0.604395604395604,-0.0329670329670331,2,1,0.0586080586080586
88,94,5,"12",28,28,16,16,0.571428571428571,0.571428571428571,0,2,2,0.0952380952380952
88,95,5,"12",28,24,16,14,0.571428571428571,0.565018315018315,0.00641025641025639,2,1,0.0853174603174603
88,96,5,"12",28,26,16,16,0.571428571428571,0.604395604395604,-0.0329670329670331,2,1,0.0586080586080586
88,97,5,"12",28,24,16,14,0.571428571428571,0.565018315018315,0.00641025641025639,2,1,0.0853174603174603
88,98,5,"12",28,24,16,14,0.571428571428571,0.565018315018315,0.00641025641025639,2,1,0.0853174603174603
89,101,5,"12",28,26,18,16,0.642857142857143,0.604395604395604,0.0384615384615383,2,1,0.13003663003663
89,102,5,"12",28,24,18,14,0.642857142857143,0.565018315018315,0.0778388278388278,2,2,0.156746031746032
89,103,5,"12",28,28,18,16,0.642857142857143,0.571428571428571,0.0714285714285714,2,1,0.166666666666667
89,104,5,"12",28,24,18,14,0.642857142857143,0.565018315018315,0.0778388278388278,2,2,0.156746031746032
89,105,5,"12",28,24,18,14,0.642857142857143,0.565018315018315,0.0778388278388278,2,2,0.156746031746032
89,90,5,"12",28,28,18,18,0.642857142857143,0.642857142857143,0,2,1,0.107142857142857
89,91,5,"12",28,26,18,16,0.642857142857143,0.604395604395604,0.0384615384615383,2,1,0.13003663003663
