"Generation","ASDSF","upper.95","lower.95","upper.75","lower.75","min","max"
501,0.0200701690778309,0.0271779227106642,0.00335653459500693,0.0268405509918109,0.0167826729750347,0,0.0272622656403776
521,0.0197183514933027,0.0264263394603797,0.00333811074280871,0.0260654286509904,0.0166905537140435,0,0.026516567162727
541,0.0192137648113493,0.0259853833631786,0.00324497444339052,0.0254317082724661,0.0162248722169526,0,0.0261238021358568
561,0.0192387681028567,0.026118932510839,0.00321919644435791,0.0256122153914556,0.0160959822217896,0,0.0262456117906848
581,0.0189537464396845,0.0257946446260843,0.00317224112839101,0.0251921577097829,0.0158612056419551,0,0.0259452663551596
601,0.0188078572570727,0.0254662523197551,0.00309002955395923,0.0248624668465154,0.0154501477697961,0,0.0256171986880651
621,0.0186713252064013,0.0260060426413425,0.00301655656941618,0.0254538408982317,0.0150827828470809,0,0.0261440930771202
641,0.0184940736844197,0.0258944215863548,0.003008851678161,0.0254048901900752,0.015044258390805,0,0.0260168044354247
661,0.0179673192693099,0.0251850117625041,0.00294615674973978,0.0246745504515202,0.0147307837486989,0,0.02531262709025
681,0.0177182934317779,0.0251029265011998,0.00286997254764613,0.0238811220919395,0.0143498627382307,0,0.0254083776035148
701,0.0175040870759396,0.0246679575393291,0.00287525371704264,0.0235592109959715,0.0143762685852132,0,0.0249451441751685
721,0.0172968016622147,0.0242222178209145,0.00283385777409355,0.0233004042330403,0.0141692888704677,0,0.024452671217883
741,0.0169898456870547,0.0234285753967754,0.00272916916970441,0.0228154492824015,0.013645845848522,0,0.0235818569253689
761,0.0166932003715805,0.0230422824918728,0.00270378822202726,0.0227937968253452,0.0135189411101363,0,0.0231044039085047
781,0.0163782567657706,0.0228505972990398,0.0026526756811591,0.0224591490884394,0.0132633784057955,0,0.0229484593516899
801,0.0161498248191885,0.0224878921405875,0.00255492800872057,0.0223402845565831,0.0127746400436028,0,0.0225247940365886
821,0.0158139863749308,0.0219712959652303,0.00255836318515361,0.0219460357331591,0.012791815925768,0,0.0219776110232481
841,0.0155780946192748,0.0216875226281967,0.00255150499658436,0.0216765349431015,0.0127575249829218,0,0.0216902695494705
861,0.0152676113232614,0.0213701697452107,0.00251720309975578,0.0209053625354225,0.0125860154987789,0,0.0214863715476578
881,0.0149997680230192,0.0212970569047827,0.00243436760545396,0.0204282615774754,0.0121718380272698,0,0.0215142557366096
901,0.0148539851578259,0.0213001244049239,0.00239302690969978,0.0199822264218211,0.0119651345484989,0,0.0216295989006996
921,0.0146836046871578,0.0209024931398457,0.00237104508488352,0.0195759169093895,0.0118552254244176,0,0.0212341371974598
941,0.0145020579433308,0.0207524618509734,0.00235007183490673,0.0195383334495838,0.0117503591745337,0,0.0210559939513208
961,0.0142728551140489,0.0199731019761137,0.0023010118950332,0.018987998679124,0.011505059475166,0,0.0202193778003611
981,0.0139808377353632,0.019553862824242,0.00228133848935889,0.0185950299581861,0.0114066924467944,0,0.019793571040756
