"Generation","ASDSF","upper.95","lower.95","upper.75","lower.75","min","max"
1,0.0941616257703331,0.139491429023245,0.0138139867909524,0.132275490220827,0.0690699339547618,0,0.14129541372385
21,0.068027067238574,0.0887388651976154,0.0110364839180206,0.0872656316586022,0.055182419590103,0,0.0891071735823687
41,0.0553032658948002,0.0752266144997366,0.00939572998031953,0.0723972607771972,0.0469786499015976,0,0.0759339529303714
61,0.0471257911116131,0.0659178670296459,0.00830246353830743,0.0625200368359562,0.0415123176915371,0,0.0667673245780684
81,0.0429471396166768,0.0580770284485942,0.00750210871029007,0.0576381733794613,0.0375105435514503,0,0.0581867422158774
101,0.0387673039949807,0.0534415099459072,0.00674650836397754,0.0530563921467396,0.0337325418198877,0,0.0535377893956991
121,0.0359164035025353,0.0482610179772106,0.00605039860111078,0.0476306419185784,0.0302519930055539,0,0.0484186119918686
141,0.0339958993340961,0.0457412556199082,0.00557050535485423,0.0450050288117397,0.0278525267742711,0,0.0459253123219504
161,0.0316927073494901,0.0433020138673223,0.00516462279155021,0.0429525579698046,0.0258231139577511,0,0.0433893778417017
181,0.030516520989494,0.0426052120413369,0.0049520905441617,0.0418824321799844,0.0247604527208085,0,0.042785907006675
201,0.0286647959015792,0.0397088262103228,0.00469634704395078,0.0372719535017015,0.0234817352197539,0,0.0403180443874781
221,0.0272114546006212,0.0384186187570636,0.00453823308624665,0.0360805075999066,0.0226911654312332,0,0.0390031465463528
241,0.0262642779067195,0.0369339563788221,0.00444282271978559,0.0345349830206798,0.0222141135989279,0,0.0375336997183577
261,0.0253651851569926,0.0350101635693345,0.0043425882739061,0.0335266616533581,0.0217129413695305,0,0.0353810390483286
281,0.0242812297706784,0.0330498886110584,0.00408329545436976,0.0324113729776488,0.0204164772718488,0,0.0332095175194108
301,0.0239987898184768,0.032561696291144,0.00405394177641594,0.0323121484448154,0.0202697088820797,0,0.0326240832527262
321,0.0234705538978789,0.0312277124104632,0.00394688872173632,0.0311563012439943,0.0197344436086816,0,0.0312455652020804
341,0.0226497146691954,0.0302623607029371,0.00376991118303483,0.0300421763028387,0.0188495559151741,0,0.0303174068029617
361,0.0217452052556465,0.0292075334775348,0.00352851372809891,0.0288886244449235,0.0176425686404946,0,0.0292872607356876
381,0.0215273598877984,0.0291605122824846,0.00349640756290791,0.0285214521669074,0.0174820378145395,0,0.0293202773113789
401,0.0211006852824625,0.0288335526047762,0.00345336038544193,0.0279370789960742,0.0172668019272096,0,0.0290576710069517
421,0.0208143774060292,0.0284164832735095,0.00336476598403309,0.0279408762683136,0.0168238299201655,0,0.0285353850248085
441,0.020382557911855,0.0282071323514007,0.00328290656995573,0.0272916749902463,0.0164145328497786,0,0.0284359966916893
461,0.0202367432919419,0.0276627169306242,0.00340080435200269,0.0270239868502511,0.0170040217600134,0,0.0278223994507175
481,0.020053371618924,0.0272519615298758,0.00335783942529428,0.0268944317091597,0.0167891971264714,0,0.0273413439850548
